"제안번호","제안제목","제안내용","제안등록일자"
"192206","이런 한복 축제 해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192206","2022-03-06 09:48:40.0"
"192205","대현산 공원에 반려견 운동장을 만들어 주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192205","2022-03-05 19:37:12.0"
"192204","서울한옥상업지구 개발","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192204","2022-03-05 09:43:25.0"
"192203","청년수당 나이제한에 군경력나이까지 추가시켜주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192203","2022-03-04 17:04:38.0"
"192202","한강고수 자전거 전용도로 보행자 보호","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192202","2022-03-04 13:49:53.0"
"192201","버스 기사 지원금 운수종사자인 기사들 해당되고 사무직은 못받으니 억울하네요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192201","2022-03-04 12:48:08.0"
"192200","지킴자금 업무처리 능력","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192200","2022-03-03 23:49:16.0"
"192199","탈모 피부 미용도 실비 보험에 적용 시켜주세요!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192199","2022-03-03 22:23:57.0"
"192198","치과도 같은 실비 보험으로 통합 해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192198","2022-03-03 22:13:03.0"
"192197","반포한강공원 세빛섬 근처에 대관람차 설치를 제안합니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192197","2022-03-03 17:34:46.0"
"192196","결혼식 직계 원판사진만이라도 마스크 착용 의무화 해지 해 주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192196","2022-03-03 01:23:53.0"
"192195","서울시 개인택시 부제를 해제 해 주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192195","2022-03-02 10:26:26.0"
"192194","전기차 충전소 설치 건의","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192194","2022-03-01 20:47:42.0"
"192193","화곡본동1구역 3080+ 도심공공주택 복합사업에 선정될수 있도록 지원요청 합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192193","2022-03-01 12:50:26.0"
"192192","남산에 사나운 들개 출현해요 10마리정도가 떼지어담","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192192","2022-02-28 21:40:56.0"
"192191","노을공원 캠핑장 주차장 경차 할인","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192191","2022-02-28 15:55:09.0"
"192190","서울지킴자금","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192190","2022-02-28 14:02:26.0"
"192189","우크라이나 전쟁 희생자들을 위하여","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192189","2022-02-27 22:29:54.0"
"192188","후보지선정에서 소외된 화곡본동 1구역 3080+도심공공주택복합사업 선정해주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192188","2022-02-27 13:36:27.0"
"192187","구민체육센터 서울페이 및 1타3만 활성화","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192187","2022-02-27 11:00:05.0"
"192186","골목길에  종이박스인화성 폐기물을 방치하여 화재위험.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192186","2022-02-27 09:47:13.0"
"192185","공중화장실(변기두껑) 스마트하게","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192185","2022-02-26 21:13:09.0"
"192184","서리풀 터널은 시내버스 1대로 인한 우신운수 시내버스 신설요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192184","2022-02-26 16:05:36.0"
"192182","기관 추천 장애인 주택청약에 대하여","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192182","2022-02-25 16:49:50.0"
"192181","소상공인 지킴자금","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192181","2022-02-25 14:47:39.0"
"192180","장애인수도세 복지할인","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192180","2022-02-25 12:14:54.0"
"192179","서울형 전임교사제에 대해 제안합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192179","2022-02-24 14:39:14.0"
"192178","코로나19 예방법 및 치료방법","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192178","2022-02-24 11:15:17.0"
"192177","이륜차 번호판의 크기 조정으로 사망사고 및 불법운행 감소유도","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192177","2022-02-23 22:45:16.0"
"192176","코로나19 예방법 및 치료방법(긴급제안)","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192176","2022-02-23 21:20:40.0"
"192175","근린공원의 개념과 조성","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192175","2022-02-23 16:10:24.0"
"192174","대중식당 개인별 식단 제공 의무화 제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192174","2022-02-23 10:19:35.0"
"192173","지하철 개찰구에 온도체크!!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192173","2022-02-22 20:45:51.0"
"192172","장애아동을 위한 전용 미용(헤어컷)시설 설치를 제안합니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192172","2022-02-22 14:54:13.0"
"192171","국토교통부 3080+ 도심 공공주택 복합사업에 서울시의 협조가 필요합니다. 낙후된 화곡동의 개발을 도와주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192171","2022-02-22 11:10:54.0"
"192170","공감합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192170","2022-02-22 10:55:01.0"
"192169","약탈적매국노적망국적 헐값 택시요금정책 포기해 줄 것을 제안합니다..","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192169","2022-02-22 01:26:04.0"
"192168","뮤직비디오 촬영 문의드립니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192168","2022-02-22 00:35:18.0"
"192167","국토교통부 3080+ 도심 공공주택 복합사업에 서울시의 협조가 필요합니다. 낙후된 화곡동의 개발을 도와주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192167","2022-02-21 18:14:07.0"
"192166","신금호역 역세권 청년주택 건립","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192166","2022-02-21 15:20:43.0"
"192165","금호 중학교 설립","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192165","2022-02-21 14:49:19.0"
"192163","삶의 질 항상","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192163","2022-02-21 06:35:15.0"
"192162","08~18시 공사시간 조례로규정 하여 기본권보장해 주십시오","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192162","2022-02-21 03:57:03.0"
"192161","서울시소상공인지킴자금","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192161","2022-02-20 12:12:06.0"
"192160","쓰레기 실명제","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192160","2022-02-20 11:27:25.0"
"192159","폐지를 싣고 가는 손수레를 보면서","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192159","2022-02-20 11:10:45.0"
"192158","신분당선-경의중앙선 연계를 통한 도심공원 활성화 및 지역연결 복원","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192158","2022-02-20 11:04:18.0"
"192157","서울시 시내버스 도착정보에 정차 위치를 알려줌","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192157","2022-02-20 10:58:11.0"
"192156","남산 고양이","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192156","2022-02-20 10:48:29.0"
"192155","종로3가 지하철역 1-3호선 환승구간에 상점이 난립","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192155","2022-02-20 10:47:35.0"
"192154","종로4가 세운상가에 정보통신박물관을 건립하자","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192154","2022-02-20 10:39:45.0"
"192153","공간 활용 방안?","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192153","2022-02-19 09:09:29.0"
"192152","코로나시대 공중화장실개인보건위생","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192152","2022-02-18 21:29:56.0"
"192150","신혼부부 특별공급 자격요건 수정요청드립니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192150","2022-02-18 13:17:52.0"
"192149","전기 버스를 경사가 심하고 도로 한쪽에만 반사형 방음벽이 존재하는 노선에 최우선 투입하는 것을 제도화 요청합니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192149","2022-02-18 10:33:44.0"
"192148","꿈나무마을 운영조직 개선 권고","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192148","2022-02-17 22:42:41.0"
"192147","서울시 임차소상공인 100만원 언제 지급하나요? 신청한지 꽤되엇는데 (영등포구)","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192147","2022-02-17 19:31:40.0"
"192146","청년 주거","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192146","2022-02-17 08:18:47.0"
"192144","서북부 교통지옥","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192144","2022-02-16 16:59:12.0"
"192142","희년제도부활! 희년자유경제특구개발130. 5개년 정책제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192142","2022-02-15 23:08:19.0"
"192141","서울페이 관련하여 불편신고합니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192141","2022-02-15 14:38:55.0"
"192140","서울페이 불편해요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192140","2022-02-14 14:51:45.0"
"192139","무악재 고개 인도에 '탄소중립 투명방음벽' 설치 바랍니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192139","2022-02-13 21:27:33.0"
"192138","인왕산 무장애 산책로를 조성해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192138","2022-02-13 20:51:47.0"
"192137","주차장에 태양광설치로 재생에너지 사용 확대","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192137","2022-02-13 12:08:15.0"
"192136","서울페이 왜 만든 건가요?","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192136","2022-02-12 18:00:10.0"
"192135","서울시 부족한 강아지 공원에 대한 제안입니다!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192135","2022-02-12 02:06:03.0"
"192134","강남구 역삼동 언주로69길  주차구획 삭선요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192134","2022-02-11 15:52:36.0"
"192133","강남역 사거리  횡단보도 설치 하자","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192133","2022-02-11 01:30:13.0"
"192132","제도개선등","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192132","2022-02-10 18:11:39.0"
"192131","코로나 소상공인 지원을 좀더 광범위하게 했으면 좋겠습니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192131","2022-02-10 16:03:47.0"
"192130","김소월 시인 탄생 120주년 기념 서울시 김소월 문학관건립 제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192130","2022-02-10 13:33:49.0"
"192129","면목동공동체주택마을사업 앞에 거주자우선주차장 좀 만들어주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192129","2022-02-10 13:24:19.0"
"192128","관공서나 마트에  반려동물 쉼터나 보호소 마련이 시급합니다!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192128","2022-02-10 10:55:12.0"
"192127","서울페이플러스 불편","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192127","2022-02-10 09:58:07.0"
"192126","매년 이른 봄(2~3월)에는 산림훼손 무단경작 단속 필요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192126","2022-02-10 09:34:29.0"
"192125","횡단보도 위 로고젝터 설치를 제안합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192125","2022-02-09 20:25:22.0"
"192124","오미크론 판데믹 극복을 위한 방역 제품 제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192124","2022-02-09 16:48:45.0"
"192123","생활지원금 가구원수 책정문제","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192123","2022-02-09 16:13:37.0"
"192122","코로나 증상 전담 상담콜센터 개설을 요청합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192122","2022-02-09 12:13:59.0"
"192121","66번 버스 노선 변경 부탁드립니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192121","2022-02-09 11:45:17.0"
"192120","한국은행 분수광장 리뉴얼","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192120","2022-02-08 11:28:13.0"
"192119","서울시(산하 기관 포함) 민원실 번호표기를 동선시각 감안해서 설치 필요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192119","2022-02-08 10:25:58.0"
"192118","서계동 개발행위허가 제한(안)에 대한 민원","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192118","2022-02-08 08:31:32.0"
"192117","야구장을 지켜주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192117","2022-02-07 16:48:18.0"
"192116","신촌기차역 항원검사대기","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192116","2022-02-07 14:49:25.0"
"192115","일회용 배달용기 플라스틱 줄이기","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192115","2022-02-07 13:12:06.0"
"192114","기혼자에게 취업과 진급에서 가점과 가족수당 더 주기","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192114","2022-02-07 11:50:52.0"
"192113","쇼핑봉투에 관하여","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192113","2022-02-06 22:34:01.0"
"192112","아동학대 방지 해결방안 및 현행법 보완","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192112","2022-02-06 16:57:58.0"
"192111","길거리 담배피우는사람 강화요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192111","2022-02-06 16:37:47.0"
"192110","이동하는 흡연자 과태료 처분 필요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192110","2022-02-06 12:41:09.0"
"192109","리유저블 빨대 사용 문화를 활성화합시다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192109","2022-02-05 19:21:49.0"
"192108","서울시 양천구 목4동 3080 도심공공주택복합사업 반대합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192108","2022-02-05 00:24:55.0"
"192107","자영업자 살려주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192107","2022-02-04 22:24:52.0"
"192106","학교 유치원 어린이집에 코로나19신속진단키트를 제공해주세요!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192106","2022-02-04 17:09:11.0"
"192104","고령자 운전면허 반납 제도 개선","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192104","2022-02-04 14:26:41.0"
"192103","코로나시기에 서울시향과 함께하는 양수경씨 콘서트 제안합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192103","2022-02-04 12:49:41.0"
"192102","한강공원에 반려견 놀이터가 생겼으면 좋겠어요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192102","2022-02-04 11:28:11.0"
"192101","코로나로 힘든 시기","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192101","2022-02-04 08:44:00.0"
"192100","서울페이 너무불편하고 신한카드 대응도 엉망입니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192100","2022-02-03 17:05:07.0"
"192099","서울페이+ 대소문자 구분","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192099","2022-02-03 16:17:45.0"
"192098","서초동 삼풍아파트에 시내버스 신설하자","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192098","2022-02-03 15:04:24.0"
"192097","폐교된 공립학교를 활용한 공공요양병원 건립추진 요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192097","2022-02-02 12:57:02.0"
"192096","서초동 삼풍아파트 인근 시내버스 신설 합시다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192096","2022-02-02 09:53:46.0"
"192095","금천구(가산동독산동시흥동) - 판교분당 간 광역버스 노선 신설","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192095","2022-02-01 19:14:11.0"
"192094","노인교통카드 발급제한 해제요망","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192094","2022-02-01 12:38:34.0"
"192093","푸른수목원 내 저수지에 배를 띄워주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192093","2022-02-01 07:24:31.0"
"192092","농수산물시장 제대로 하고 있는가???","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192092","2022-01-30 19:49:19.0"
"192091","용산공원안에 건물을 무상임대해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192091","2022-01-30 09:57:06.0"
"192090","서울페이사용중지","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192090","2022-01-29 16:50:29.0"
"192088","청계천 좁은도로 넓게하는법","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192088","2022-01-29 07:36:13.0"
"192087","아프리카 보다 못한 대중교통을 보면서","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192087","2022-01-28 21:28:15.0"
"192086","지하철 5호선연장","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192086","2022-01-28 20:51:52.0"
"192085","서울페이 현금영수증 발급","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192085","2022-01-28 14:03:07.0"
"192084","신혼부부 임차보증금 이자 지원 사업","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192084","2022-01-28 09:01:34.0"
"192083","강서구 화곡동이 3080 재개발 후보지 발표에서 빠진 이유는 무엇입니까?","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192083","2022-01-27 12:00:30.0"
"192082","화곡248동 공공주택 복합사업 후보지 지정에 협조바랍니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192082","2022-01-27 11:57:39.0"
"192081","주민설명회 해주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192081","2022-01-26 20:50:13.0"
"192080","초등보안관 처우개선","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192080","2022-01-26 14:43:25.0"
"192079","광장동 530-1 530-84 필지 아차산 진입공원 조성","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192079","2022-01-26 14:11:52.0"
"192077","서울시 공공기관부터 전면 재택 전환 시급","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192077","2022-01-26 09:15:54.0"
"192076","수녀라는 이름","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192076","2022-01-26 08:15:27.0"
"192075","마리아수녀회 관련 담당자 조사 촉구","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192075","2022-01-25 23:55:24.0"
"192074","금연중10미터이상 보행금지","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192074","2022-01-25 17:05:39.0"
"192067","전기오토바이","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192067","2022-01-25 12:27:51.0"
"192064","거리에 불쌍한 노숙자가 있어서 알려드립니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192064","2022-01-24 17:57:46.0"
"192062","65세 이상 지하철 무임 승차 폐지하고 현금으로 교통수당을 지급","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192062","2022-01-24 16:34:07.0"
"192059","서울의 얼굴 국가상징거리 환경 조성","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192059","2022-01-24 16:24:36.0"
"192055","지역구 그린오션 정책 제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192055","2022-01-24 02:03:41.0"
"192054","코로나 피해지원사업에 비영리민간단체로 포함부탁드립니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192054","2022-01-23 17:03:13.0"
"192053","백신 3차 접종 완료 QR코드에 자동 업그레이드 되는 건.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192053","2022-01-23 15:44:36.0"
"192052","서울사랑 상품권 개인 구매한도를 줄여서 많은 사람이 혜택보게 해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192052","2022-01-23 07:33:26.0"
"192051","북부간선도로 주행 유도선 변경 요청의 건","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192051","2022-01-23 00:34:27.0"
"192050","서울 여의도에 레일바이크 케이블카 설치 해주세요~","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192050","2022-01-22 05:01:24.0"
"192049","서울 여의도에 레일바이크 케이블카 설치 해주세요~","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192049","2022-01-22 04:55:41.0"
"192048","진도 10에도 안전한 지하 원자력발전소","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192048","2022-01-22 00:55:35.0"
"192047","인도가 없어서 불편해요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192047","2022-01-22 00:32:10.0"
"192046","CCTV와가로수 보호를","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192046","2022-01-21 20:22:35.0"
"192045","주택임대사업자 말소가 아파트는 되는데 일반 다가구주택에 대해서는 왜 막아놓은 것인가요?? 형평성에 맞지 않습니다 허용하여 주십시요!!","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192045","2022-01-21 12:39:23.0"
"192043","따릉이 이용권 제로페이 할인 부활시켜주세요.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192043","2022-01-20 19:32:56.0"
"192042","서울시 소상공인 4무지원정책","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192042","2022-01-20 18:47:23.0"
"192041","사각지대에 있는 결식아동및 어려운분들 돕기","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192041","2022-01-20 18:24:42.0"
"192040","SH장기전세주택 입주 조건","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192040","2022-01-20 12:20:54.0"
"192039","부동산종합정보 건축물정보상의 층별현황 배열변경","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192039","2022-01-20 10:40:24.0"
"192037","버스전용차로를 자전거전용도로로 변경","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192037","2022-01-19 23:58:58.0"
"192036","보행로 지상을 침범하여 불안감을 조성하는 타워크레인을 퇴출시켜 주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192036","2022-01-19 16:20:37.0"
"192035","서울 - 아바나 간 자매결연 추진","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192035","2022-01-19 16:17:53.0"
"192032","서울공예박물관 강좌제안드립니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192032","2022-01-19 12:40:00.0"
"192030","제설 단계별  대응책","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192030","2022-01-19 11:42:33.0"
"192029","임대주택 입주자 자격 Q&A 사례집 작성 요청","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192029","2022-01-18 17:27:32.0"
"192028","코로나 pcr 검사 결과--국문 및 영문 발급(단 영문발급시 일정 수수료 수수 조건)","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192028","2022-01-18 16:44:14.0"
"192027","가락시장에서 근무하는 근로자로서 코로나관련 제안","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192027","2022-01-18 04:00:33.0"
"192026","관광 서울 개발의 건","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192026","2022-01-17 15:19:02.0"
"192025","604 배차 간격 좀 좁혀주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192025","2022-01-17 09:13:29.0"
"192024","정책의 일관성을 요청드립니다.","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192024","2022-01-17 02:14:02.0"
"192023","서울시가 합리적인 방역지침을 만들어주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192023","2022-01-16 15:21:50.0"
"192022","배려의 습관을 만들어주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192022","2022-01-16 14:15:32.0"
"192021","중고등학교 기출문제 앱을 제안합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192021","2022-01-15 14:32:41.0"
"192020","청소년 교재 무료 서점 을 제안합니다","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192020","2022-01-14 23:47:10.0"
"192019","[지급 방식 제안]코로나 생활지원금 생필품 지원 관련...","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192019","2022-01-14 15:07:36.0"
"192016","1인가구 도어가드 센서 추가 설치할 수 있게 해주세요","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192016","2022-01-13 14:38:42.0"
"192015","김어준 하차요구","http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192015","2022-01-13 12:12:28.0"
